   phi1      Phi     phi2    phase        x        y       ci
9.91036  19.6267  31.0919        1        1 0.866025        1
9.77645  19.2918   29.903        1      1.5  1.73205        1
9.79365  20.4334  30.4504        1        1  2.59808        1
10.8137  19.6861  30.4631        1      1.5   3.4641        1
9.97041  20.8524  30.2114        1        1  4.33013        1
9.59707  20.0647  30.6067        1      1.5  5.19615        1
9.60701  19.7336  29.8312        1        1  6.06218        1
10.4508  18.7207  31.0278        1      1.5   6.9282        1
10.4565  20.0116  30.8896        1        1  7.79423        1
10.7461  20.1941  30.0836        1      1.5  8.66025        1
10.0913  20.1312  30.6504        1        1  9.52628        1
10.3464  19.3578  29.8603        1      1.5  10.3923        1
9.66997  19.1972  31.4346        1        1  11.2583        1
10.1308   21.021  31.4084        1      1.5  12.1244        1
9.77442  20.1302  29.8783        1        1  12.9904        1
10.0809  20.3931  29.8111        1      1.5  13.8564        1
9.96874  19.5797    30.22        1        1  14.7224        1
9.55634  20.2065  31.1578        1      1.5  15.5885        1
9.97647  20.8041  29.2026        1        1  16.4545        1
 9.6652  19.0825  29.9255        1      1.5  17.3205        1
 10.422  19.8842  31.2011        1        1  18.1865        1
10.2043  20.1799  30.1876        1      1.5  19.0526        1
9.71964   20.626   30.614        1        1  19.9186        1
9.93118  19.7866  30.3425        1      1.5  20.7846        1
  10.52  19.6327  30.6652        1        1  21.6506        1
10.1781  18.6026    30.19        1      1.5  22.5167        1
9.68247   19.661  30.2925        1        1  23.3827        1
10.5539  20.4099  31.2214        1      1.5  24.2487        1
 9.2042  19.5213   31.422        1        1  25.1147        1
9.01594  19.9499  30.2037        1      1.5  25.9808        1
10.4302  20.3616  30.4736        1        1  26.8468        1
9.85876  19.2521  30.3793        1      1.5  27.7128        1
9.85737  20.3118  31.1198        1        1  28.5788        1
10.4567  20.3336  30.1043        1      1.5  29.4449        1
9.18808  20.0219  30.2598        1        1  30.3109        1
9.97394  20.9626  31.0593        1      1.5  31.1769        1
9.72855  20.5282  30.1281        1        1  32.0429        1
10.2332  19.7276  30.5365        1      1.5   32.909        1
10.6007  19.6691  31.2853        1        1   33.775        1
10.0822  19.6402    29.52        1      1.5   34.641        1
9.40204   20.111  30.4009        1        1   35.507        1
9.45302  20.1468  31.2427        1      1.5  36.3731        1
9.74307  19.5547    30.13        1        1  37.2391        1
10.3643  21.0033  30.5243        1      1.5  38.1051        1
10.0967  20.2129  30.0419        1        1  38.9711        1
9.80326  20.9497   31.689        1      1.5  39.8372        1
9.44386  20.4018  30.2773        1        1  40.7032        1
9.99276  19.4688  30.3003        1      1.5  41.5692        1
10.1595  19.0211  30.6784        1        1  42.4352        1
9.86046  19.8948    30.54        1      1.5  43.3013        1
9.76009  20.4238  30.8879        1        1  44.1673        1
9.31482  20.7064  31.3054        1      1.5  45.0333        1
10.1074  20.0969  30.7832        1        1  45.8993        1
9.79688   19.311  30.5664        1      1.5  46.7654        1
9.68413  20.3217  31.1291        1        1  47.6314        1
10.8181  20.0897  29.4089        1      1.5  48.4974        1
10.9059  19.7411  30.1747        1        1  49.3634        1
10.4238  19.9778  31.0042        1      1.5  50.2295        1
9.23014  19.7469  31.2442        1        1  51.0955        1
9.93616  19.8527  30.5149        1      1.5  51.9615        1
10.2633  20.2941   30.882        1        1  52.8275        1
10.3016  19.2579   31.168        1      1.5  53.6936        1
10.4889  20.4287  29.7243        1        1  54.5596        1
10.2348  19.5129  30.2949        1      1.5  55.4256        1
10.0741  20.8013  30.2056        1        1  56.2917        1
9.90617  19.4584  30.2797        1      1.5  57.1577        1
9.10101  19.6952  30.6449        1        1  58.0237        1
9.58606  19.4603    30.52        1      1.5  58.8897        1
10.4424  19.8946  30.7649        1        1  59.7558        1
 10.507  20.5987  29.8462        1      1.5  60.6218        1
9.63816  19.2309  30.1351        1        1  61.4878        1
 9.4191  20.1235  30.7489        1      1.5  62.3538        1
10.1014  19.9929  31.2961        1        1  63.2199        1
10.1045  19.7881  30.3253        1      1.5  64.0859        1
 10.263  19.5433  31.1409        1        1  64.9519        1
 10.526  19.4861  30.4053        1      1.5  65.8179        1
10.2234  21.0916  30.1939        1        1   66.684        1
10.5302  19.3877  30.1741        1      1.5    67.55        1
9.94774  19.8205  30.8822        1        1   68.416        1
10.4464  19.7244  30.4241        1      1.5   69.282        1
9.94857  18.9706  31.6202        1        1  70.1481        1
9.92208  19.7168  31.7893        1      1.5  71.0141        1
9.04481  19.2904  30.4416        1        1  71.8801        1
9.56409  18.9186  30.6869        1      1.5  72.7461        1
10.5267  20.2572  30.0094        1        1  73.6122        1
10.1723  19.5846  30.1489        1      1.5  74.4782        1
 10.128  20.2799  30.2908        1        1  75.3442        1
10.4117  20.2361  29.8819        1      1.5  76.2102        1
9.72989   20.548   30.491        1        1  77.0763        1
9.30926  19.4112  30.9268        1      1.5  77.9423        1
10.5315  20.0487  30.5288        1        1  78.8083        1
10.2055   19.372  29.7697        1      1.5  79.6743        1
 9.3102  19.6529  29.7608        1        1  80.5404        1
9.22841  20.6536   29.879        1      1.5  81.4064        1
9.96722  19.9762     31.1        1        1  82.2724        1
9.49693   20.482  31.2548        1      1.5  83.1384        1
10.3301    19.86  30.2482        1        1  84.0045        1
10.3134  19.5014  31.0691        1      1.5  84.8705        1
9.45611  20.7345  31.1852        1        1  85.7365        1
9.90126  20.3583  29.4703        1      1.5  86.6025        1
9.62592  19.8361  30.8196        1        2 0.866025        1
9.78461  20.3754  31.3761        1      2.5  1.73205        1
9.97341  20.3789  30.7259        1        2  2.59808        1
9.63063  19.9261  30.4249        1      2.5   3.4641        1
11.3872   19.908  31.6291        1        2  4.33013        1
10.6303  20.4168  31.1459        1      2.5  5.19615        1
11.2598  20.1017  30.8238        1        2  6.06218        1
9.49641  19.9206  31.0703        1      2.5   6.9282        1
9.90334  19.5845  30.8042        1        2  7.79423        1
 9.8502   19.987  31.1973        1      2.5  8.66025        1
9.62401  20.8295  31.2416        1        2  9.52628        1
8.71089  20.6542  30.6863        1      2.5  10.3923        1
10.0989  20.4722  30.7975        1        2  11.2583        1
10.0072  19.6942  31.3287        1      2.5  12.1244        1
10.2099  19.6457  31.6055        1        2  12.9904        1
10.5635  20.5569  31.1274        1      2.5  13.8564        1
 10.144  20.1252  31.3153        1        2  14.7224        1
10.7704  19.7365  31.9771        1      2.5  15.5885        1
9.74465  19.6357  30.7879        1        2  16.4545        1
 10.473  20.3858  31.6941        1      2.5  17.3205        1
10.2066  19.6249  31.3852        1        2  18.1865        1
9.86671  19.4491  31.1196        1      2.5  19.0526        1
9.53323  20.4684  30.1695        1        2  19.9186        1
10.0782  19.8055  31.7864        1      2.5  20.7846        1
10.9814  19.6197  30.9019        1        2  21.6506        1
10.1694  19.5049  31.1344        1      2.5  22.5167        1
10.6192   19.862  30.2172        1        2  23.3827        1
10.4729  18.7998  30.8677        1      2.5  24.2487        1
9.84027  19.0245  30.1087        1        2  25.1147        1
9.07983  20.9453  31.2145        1      2.5  25.9808        1
10.8303  19.9651  31.1325        1        2  26.8468        1
9.39951  20.4484  31.4879        1      2.5  27.7128        1
9.51025   19.486  30.8444        1        2  28.5788        1
9.72753  20.5392  30.4326        1      2.5  29.4449        1
8.89029   19.271  30.7498        1        2  30.3109        1
10.9423  19.2904  32.0783        1      2.5  31.1769        1
9.91655  20.4736  30.5597        1        2  32.0429        1
8.82757  19.6405  30.9458        1      2.5   32.909        1
9.85386   19.881   31.438        1        2   33.775        1
10.0472    19.92  31.3989        1      2.5   34.641        1
10.5171   19.086  30.8228        1        2   35.507        1
8.73323  20.9997  31.7455        1      2.5  36.3731        1
10.6145  19.8971  31.1371        1        2  37.2391        1
10.5544  20.7858  31.7528        1      2.5  38.1051        1
10.3151  20.3778  30.5955        1        2  38.9711        1
10.4514  20.6767  31.6398        1      2.5  39.8372        1
10.8374  20.0452  30.6258        1        2  40.7032        1
 10.327  20.5951  31.3535        1      2.5  41.5692        1
9.27504  19.6079  31.1287        1        2  42.4352        1
10.3294  20.4111  30.9543        1      2.5  43.3013        1
9.93097  19.3689    31.51        1        2  44.1673        1
10.0484  19.1631  31.8779        1      2.5  45.0333        1
9.76819  19.4893  30.7229        1        2  45.8993        1
9.90091  19.5986  31.4824        1      2.5  46.7654        1
10.0189  20.0573  30.6069        1        2  47.6314        1
9.21683  20.4389  30.8777        1      2.5  48.4974        1
10.6015  19.8485  30.2623        1        2  49.3634        1
9.29159  20.7975  30.9313        1      2.5  50.2295        1
10.3272  19.1785  30.8339        1        2  51.0955        1
10.6274  19.8514  30.3237        1      2.5  51.9615        1
10.3276  20.1436  31.6857        1        2  52.8275        1
9.59243  19.4856  30.5668        1      2.5  53.6936        1
 10.281  20.3095  30.7285        1        2  54.5596        1
9.95174  19.5796  30.6987        1      2.5  55.4256        1
9.58479  19.9999  31.7556        1        2  56.2917        1
8.57839  19.3585  30.7046        1      2.5  57.1577        1
9.68116  19.8594  30.2744        1        2  58.0237        1
10.6387   20.358  31.5105        1      2.5  58.8897        1
9.89669  19.7773  30.4905        1        2  59.7558        1
   10.2  20.6109  32.5965        1      2.5  60.6218        1
9.66003   19.407  30.1583        1        2  61.4878        1
 10.098   20.382  31.3405        1      2.5  62.3538        1
9.93541  20.3237   30.626        1        2  63.2199        1
10.2276   19.222  30.6975        1      2.5  64.0859        1
 9.8384  20.4396  30.9455        1        2  64.9519        1
9.12093  20.2388  31.9357        1      2.5  65.8179        1
10.8288  18.6972  30.9231        1        2   66.684        1
10.0362  20.8217  30.8467        1      2.5    67.55        1
10.7808  19.7912  30.5965        1        2   68.416        1
10.8224  20.8102  31.0589        1      2.5   69.282        1
9.36381   20.371  30.7398        1        2  70.1481        1
9.91512  20.4101   31.303        1      2.5  71.0141        1
 9.9956  19.8175   32.053        1        2  71.8801        1
10.3127  19.2658  31.3562        1      2.5  72.7461        1
10.0845    18.46  30.5579        1        2  73.6122        1
10.2306  19.7103  31.1203        1      2.5  74.4782        1
 10.649  19.7268  31.7674        1        2  75.3442        1
9.93535  19.8777  31.0859        1      2.5  76.2102        1
10.2127   20.167  31.5577        1        2  77.0763        1
10.3448  19.2796  31.2883        1      2.5  77.9423        1
9.64006  20.6809  31.5095        1        2  78.8083        1
10.0125   19.877  31.0776        1      2.5  79.6743        1
9.40446  20.6177   30.573        1        2  80.5404        1
8.95486   18.924  31.4873        1      2.5  81.4064        1
10.2035  18.2806  31.4154        1        2  82.2724        1
 10.359  19.6633  31.2891        1      2.5  83.1384        1
10.3791  19.8282  30.1535        1        2  84.0045        1
 10.517  19.8159  31.5191        1      2.5  84.8705        1
9.94324  20.4332  30.7816        1        2  85.7365        1
10.0222  20.0559  31.8272        1      2.5  86.6025        1
9.81729  19.8678  31.2182        1        3 0.866025        1
10.2492  19.8098  31.7959        1      3.5  1.73205        1
10.7378  19.4076   31.512        1        3  2.59808        1
10.4618  20.9221  31.5034        1      3.5   3.4641        1
10.1599  19.6161  31.4044        1        3  4.33013        1
11.1921  20.3074  32.2669        1      3.5  5.19615        1
10.8381  19.4953  32.4854        1        3  6.06218        1
9.40902  19.6029  31.3669        1      3.5   6.9282        1
10.5434   19.254  31.1851        1        3  7.79423        1
9.96235   20.713  30.8642        1      3.5  8.66025        1
10.2104  19.7119  30.3806        1        3  9.52628        1
9.97399  20.4011  30.7549        1      3.5  10.3923        1
9.72897   19.028  32.4794        1        3  11.2583        1
9.46613  19.2688   31.645        1      3.5  12.1244        1
8.88257  19.6595  31.2789        1        3  12.9904        1
10.3884  20.1632   31.453        1      3.5  13.8564        1
9.24385  20.2587  30.7212        1        3  14.7224        1
10.3806  21.4218  30.9114        1      3.5  15.5885        1
9.91569  19.5216  31.1661        1        3  16.4545        1
10.0463  19.6498  31.9604        1      3.5  17.3205        1
 9.8321   20.069  31.3812        1        3  18.1865        1
10.5711   20.338  30.4977        1      3.5  19.0526        1
10.5953  20.4698  30.8393        1        3  19.9186        1
 10.385  19.6681  31.4189        1      3.5  20.7846        1
9.98016  19.4063   31.749        1        3  21.6506        1
10.4232   19.339  31.1661        1      3.5  22.5167        1
 9.3534  20.1158  31.1528        1        3  23.3827        1
10.6578  19.3359  32.3729        1      3.5  24.2487        1
9.59748  19.8582  30.3365        1        3  25.1147        1
10.3075  20.0534  31.6456        1      3.5  25.9808        1
9.48736   20.263  31.4738        1        3  26.8468        1
9.78735  19.3727  30.7984        1      3.5  27.7128        1
9.76034  19.5704   31.684        1        3  28.5788        1
9.54049  20.7081  31.5174        1      3.5  29.4449        1
10.2633  19.7622  31.1842        1        3  30.3109        1
10.0802  19.6542  31.8574        1      3.5  31.1769        1
9.97606  20.6741  32.6327        1        3  32.0429        1
